year,country_residence_iso3,n_billionaires,total_wealth,median_wealth,median_age,share_self_made
2009,NA,26,81500000000,2000000000,76,0
2010,ARE,4,8300000000,2200000000,0,0
2010,ARG,1,2000000000,2000000000,75,0
2010,AUS,11,29600000000,2400000000,64,0
2010,AUT,3,11600000000,4099999999.999999,69,0
2010,BEL,1,2600000000,2600000000,84,0
2010,BHS,1,3000000000,3000000000,73,0
2010,BRA,16,86400000000,3000000000,63.5,0
2010,CAN,21,68400000000,2300000000,64,0.047619047619047616
2010,CHE,23,98300000000,2800000000,64,0
2010,CHL,4,26300000000,6550000000,30,0
2010,CHN,71,147100000000,1600000000,50,0.08450704225352113
2010,COL,1,5600000000,5600000000,77,0
2010,CYM,1,2400000000,2400000000,63,0
2010,CZE,2,8600000000,4300000000,50,0
2010,DEU,42,163000000000,2500000000,65.5,0
2010,DNK,2,5000000000,2500000000,62,0
2010,EGY,4,13000000000,2800000000,54,0
2010,ESP,9,42500000000,2000000000,63,0
2010,FIN,1,1300000000,1300000000,53,0
2010,FRA,11,81600000000,4000000000,72,0
2010,GBR,41,152000000000,1900000000,58,0
2010,GEO,1,4800000000,4800000000,54,0
2010,HKG,27,130000000000,2100000000,60.5,0.037037037037037035
2010,IDN,4,10400000000,2850000000,65,0
2010,IND,47,190000000000,1700000000,57,0.0425531914893617
2010,IRL,5,11300000000,2300000000,63,0
2010,ISR,7,17000000000,2100000000,65,0.14285714285714285
2010,ITA,11,40000000000,2100000000,69,0.09090909090909091
2010,JPN,22,68700000000,2000000000,66,0.09090909090909091
2010,KAZ,7,16900000000,3300000000,49,0
2010,KOR,10,22300000000,1550000000,57,0
2010,LBN,3,6900000000,2500000000,54,0
2010,MCO,2,18400000000,9200000000,75.5,0
2010,MEX,9,90300000000,4000000000,66,0
2010,MYS,8,24800000000,2850000000,70.5,0
2010,NGA,1,2100000000,2100000000,52,0
2010,NLD,3,6500000000,2000000000,68,0
2010,NOR,4,9000000000,2000000000,66,0
2010,NZL,2,6300000000,3150000000,52,0
2010,PAK,1,1000000000,1000000000,62,0
2010,PHL,2,5900000000,2950000000,80,0
2010,POL,5,9500000000,2000000000,53,0
2010,PRT,2,5500000000,2750000000,73,0
2010,ROU,1,1000000000,1000000000,70,1
2010,RUS,56,251400000000,2850000000,47,0.017857142857142856
2010,SAU,9,57900000000,5800000000,65,0
2010,SGP,5,11500000000,2000000000,56,0
2010,SWE,6,36600000000,2500000000,62,0
2010,THA,3,9100000000,2900000000,70,0
